Database,Title,Authors,Country of Publication,Abstract,Publication Type,Year,Journal,C_n,C_M,C_sd,M_n,M_M,M_sd,group,drug_control,adaptation,drug_control,sleep_disorders,matched_controls
Embase,"Sleep quality, arousal and pain thresholds in migraineurs: a blinded controlled polysomnographic study.",Engstrom et al. (2013),,"Our aim was to compare subjective and objective sleep quality and arousal in migraine and to evaluate the relationship between sleep quality and pain thresholds (PT) in controls, interictal, preictal and postictal migraine. Polysomnography and PT (to pressure, heat and cold) measurements were done in 34 healthy controls and 50 migraineurs. Subjective sleep quality was assessed by sleep diaries, Epworth sleepiness scale, Karolinska sleep questionnaire and Pittsburgh sleep quality index. Migraineurs who had their sleep registration more than 48 h from an attack were classified as interictal while those who were less than 48 h from an attack were classified as either preictal or postictal. Migraineurs reported more insomnia and other sleep-related symptoms than controls, but the objective sleep differences were smaller and we found no differences in daytime sleepiness. Interictal migraineurs had more awakenings (p=0.048), a strong tendency for more slow-wave sleep (p=0.050), lower thermal pain thresholds (TPT) (heat pain thresholds p=0.043 and cold pain thresholds p=0.031) than controls. Migraineurs in the preictal phase had shorter latency to sleep onset than controls (p=0.003). Slow-wave sleep correlated negatively with pressure PT and slow bursts correlated negatively with TPT. Lower PT in interictal migraineurs seems related to increased sleep pressure. We hypothesize that migraineurs on the average suffer from a relative sleep deprivation and need more sleep than healthy controls. Lack of adequate rest might be an attack-precipitating- and hyperalgesia-inducing factor.",Article,2013,The journal of headache and pain,34,194,47,33,201,44,adult,yes,yes,yes,no,yes
Embase,Migraine and sleep apnea in the general population.,Kristiansen et al. (2011),Italy,"Objective is to investigate the relationship between migraine and obstructive sleep apnea in the general population. A cross-sectional population-based study. A random age and gender stratified sample of 40,000 persons aged 20-80 years residing in Akershus, Hedmark or Oppland County, Norway, were drawn by the National Population Register. A postal questionnaire containing the Berlin Questionnaire was used to classify respondents to be of either high or low risk of obstructive sleep apnea. 376 persons with high risk and 157 persons with low risk of sleep apnea aged 30-65 years were included for further investigations. They underwent an extensive clinical interview, a physical and a neurological examination by physicians, and in-hospital polysomnography. Those with apnea hypopnoea index (AHI) >=5 were classified with obstructive sleep apnea. Migraine without aura (MO) and migraine with aura (MA) was diagnosed according to the International Classification of Headache Disorders. MO and MA occurred in 12.5 and 6.8% of the participants with obstructive sleep apnea. The logistic regression analyses showed no relationship between the two types of migraine and obstructive sleep apnea, with adjusted odds ratios for MO 1.15 (0.65-2.06) and MA 1.15 (0.95-2.39). Further, estimates using cutoff of moderate (AHI >= 15) and severe (AHI >= 30) obstructive sleep apnea, did not reveal any significant relationship between migraine and the AHI. Migraine and obstructive sleep apnea are unrelated in the general population. © 2010 The Author(s).",Article,2011,Journal of Headache and Pain,431,52.5,10.4,71,55.6,9.1,adult,no,no,no,no,no
Embase,Dysfunction of arousal systems in sleep-related migraine without aura.,Della Marca et al. (2006),United Kingdom,"Primary headaches are closely related to sleep. Modifications in the patterns of arousal during sleep have been reported in migraine, especially in the nights preceding a headache attack. We aimed at evaluating the pattern of arousal from sleep in a group of patients affected by sleep-related migraine. We enrolled 10 consecutive patients, three males and seven females, aged between 20 and 62 years, who presented frequent attacks of migraine without aura (more than five per month), closely related to sleep (more than one-half of the attacks occurred during sleep, causing an awakening). A control group was studied, matched for age and sex. Patients and controls underwent a full-night polysomnographic study, following adaptation; arousal pattern was studied by the scoring of the high-frequency EEG arousal and by the cyclic alternating pattern (CAP). Migraineurs showed a lower CAP rate in non-rapid eye movement (NREM) sleep and, in particular, a lower number of A1 phases (low-frequency, high-amplitude EEG bursts) compared with the controls. Migraineurs also showed a lower index of high-frequency EEG arousals during rapid eye movement (REM) sleep. The reduction in the CAP rate indicates a lower level of arousal fluctuation in NREM sleep. The reduced arousal index in REM suggests a dysfunction in neural structures involved in both the control of REM sleep and the pathophysiology of migraine, such as the hypothalamus and the brainstem. © Blackwell Publishing Ltd.",Article,2006,Cephalalgia,10,45.3,6.87,10,44.85,6.96,adult,yes,yes,yes,yes,yes
Embase,Study of sleep microstructure in patients of migraine without aura.,Nayak et al. (2016),Germany,"Purpose: Although the relationship between sleep and migraine has been widely reported, studies on sleep microstructure are few. The aim was to study and compare microstructural polysomnographic characteristics in patients of ""migraine without aura"" (MOA) with controls. Method(s): Twenty-five patients of MOA and 25 age- and gender-matched healthy controls were subjected to overnight polysomnography. Microstructural sleep analysis, including arousal and cyclic alternating pattern (CAP) analysis was performed. Arousals and CAP parameters were compared between the two groups using the Mann-Whitney U test (p <= 0.05). Result(s): The overall arousal index (p = 0.528) and that during non-rapid eye movement (NREM) sleep (p = 0.503) were comparable between the two groups. However, the arousal index was lower in migraineurs during rapid eye movement (REM) sleep (p = 0.001). The overall CAP rate (p = 0.020) as well as the number of CAP cycles and sequences (p = 0.032) was lower among migraineurs. The total phase A duration (p < 0.0001) was increased, and conversely, phase B duration (p = 0.001) was decreased in migraineurs. The phase A1 duration (p = 0.036) was higher in migraineurs. Finally, phase A1 (p = 0.357) index was comparable, and conversely, A2 (p < 0.0001) and A3 (p = 0.020) indices were decreased in migraineurs. Conclusion(s): This study showed a decreased REM arousability as well as a decreased overall CAP rate and CAP cycling in patients with migraine as compared to controls. This indicates that there is probably an alteration of the arousal mechanisms in patients with migraine that may facilitate the occurrence of headache paroxysms during sleep.Copyright © 2015, Springer-Verlag Berlin Heidelberg.",Article,2016,Sleep and Breathing,25,41.7,8.56,25,44.18,11.1,adult,yes,no,yes,yes,yes
Embase,Alteration in polysomnographic profile in 'migraine without aura' compared to healthy controls.,Karthik et al. (2013),Netherlands,"Objective: Studies related to sleep macroarchitecture in migraines are far and few between. We studied the polysomnographic (PSG) abnormalities in subjects of 'migraine without aura' as compared to healthy controls. Method(s): Thirty patients of 'migraine without aura' were prospectively recruited. The frequency and severity of headaches was assessed using the migraine disability assessment score (MIDAS). Patients were evaluated for their sleep quality and excessive daytime sleepiness with the Pittsburgh sleep quality index (PSQI) and Epworth sleepiness scale (ESS), respectively. Their overnight PSGs were compared with 32 healthy controls who were group matched for age. Result(s): The mean age of the cases (33.5+/-8.6 years) and controls (30.2+/-9.6 years) was comparable. There was a female preponderance among the migraineurs (80%). The sleep efficiency was significantly lower in the cases as compared to the controls (P=0.003). Stage 4 sleep (p=0.008) and total NREM sleep (p=0.001) was also significantly less in the cases as compared to the controls. Sleep onset (p=0.021) and stage 1 latency (p=0.048) was significantly prolonged in cases as compared to controls. Conclusion(s): This study showed significantly lower sleep efficiency, prolonged sleep onset latency, lesser stage 4 and NREM sleep, and more number of total awakenings in migraineurs compared to the controls. Further studies are required to detect whether these abnormalities are due to migraine per se or associated comorbidities. © 2012 Elsevier B.V.",Article,2013,Sleep Medicine,32,49.2,11.3,30,43.9,10.3,adult,yes,no,yes,no,yes
Embase,Heart rate variability in sleep-related migraine without aura.,Vollono et al. (2013),United States,"Objectives: This is an observational study aimed to investigate the activity of autonomic nervous system during sleep in patients with sleep-related migraine. Method(s): Eight consecutive migraineurs without aura were enrolled (6 women and 2 men), aged 30 to 62 years (mean 48.1 +/- 9.3 years). Inclusion criteria were: high frequency of attacks (> 5 per month) and occurrence of more than 75% of the attacks during sleep causing an awakening. Patients were compared with a control group of 55 healthy subjects (23 men and 32 women, mean age 54.2 +/- 13.0 years), and with a further control group of 8 age- And gender-matched healthy controls. Patient and controls underwent polysomnography and heart rate variability analysis. Result(s): A significant reduction of the LF/HF ratio during N2 and N3 sleep stages was observed in migraineurs compared with controls. No differences in sleep macrostructure were observed; cyclic alternating pattern (CAP) time and CAP rate were lower in migraineurs than in controls. Conclusion(s): These findings indicate a peculiar modification of the autonomic balance during sleep in sleep-related migraine. The reduction of LF/HF ratio in NREM sleep was observed in controls, but it was quantitatively much more evident in migraineurs. Changes in LF/HF could be consequent to an autonomic unbalance which could manifest selectively (or alternatively become more evident) during sleep. These findings, together with the reduction in CAP rate, could be an expression of reduced arousability during sleep in patients with sleep-related migraine. The simultaneous involvement of the autonomic, arousal, and pain systems might suggest involvement of the hypothalamic pathways.",Article,2013,Journal of Clinical Sleep Medicine,8,36.1,15,8,42.7,7.3,adult,yes,no,yes,yes,yes
Embase,"Clinical presentation, diagnosis and polysomnographic findings in children with migraine referred to sleep clinics.",Armoni Domany et al. (2019),Netherlands,"Objective: An association between migraine and sleep disturbances in children was reported, yet limited clinical data exist. The current study addresses the clinical presentation, polysomnographic (PSG) characteristics, and comorbid sleep diagnoses of children with migraine referred to the sleep clinic. Patient(s): A retrospective review was performed of headache center patients evaluated by the sleep center between 2007 and 2017. Children <=18 years old, diagnosed with migraine headache, and who had PSG within one year of evaluation in the headache clinic, were included. PSG findings, as well as demographics, were compared to a group of controls aged 5-14 years-old. Result(s): In sum, 185 children with a diagnosis of migraine were included: 39% males, 75% Caucasian, mean age 13.5 +/- 3.4, and 57% obese. Additionally, 180 children were included in the control group. The common presenting sleep symptoms were snoring (66%), sleep onset and sleep maintenance problems (25%), and excessive daytime sleepiness (20%). For the sleep diagnosis, 40% had obstructive sleep apnea (OSA), 27% had insomnia, 15% had periodic limb movement disorder (PLMD), and 6% had a central disorder of hypersomnolence. In terms of sleep architecture, children with migraine had significantly higher NREM 2 (p < 0.001) and a lower percentage of NREM3 (p < 0.001) compared to controls after adjustment for demographics and the presence of sleep-disordered breathing. Conclusion(s): Children referred to the sleep clinic who also had migraine, experience various types of sleep complaints. OSA, insomnia, and PLMD were relatively common in this population. Changes in sleep architecture, specifically increased NREM2 and decreased slow wave sleep compared to the control group, were also observed.Copyright © 2019 Elsevier B.V.",Article,2019,Sleep Medicine,180,46,7,185,54,10,child,no,no,no,no,no
Embase,Psychiatric and sleep abnormalities in school-age children with migraine.,El-Heneedy et al. (2019),Germany,"Background: Migraine is a primary headache that commonly starts in childhood and adolescent's periods with great negative impacts on the educational and psychosocial performances of its sufferers. The objectives of this work were to study the existence and types of sleep and psychiatric abnormalities in school-age children with migraine (SCM). Method(s): The study was conducted on 40 SCM and 20 age-and sex-matched healthy control subjects (HCS) submitted to history taking, neurological examination, Pediatric Migraine Disability Assessment (PedMIDAS) questionnaire, Child Behavior Checklist (CBCL), Epworth Sleepiness Scale for Children and Adolescents (ESS-CHAD), Pittsburgh Sleep Quality Index (PSQI) and one-night polysomnography (PSG). Result(s): The study showed a high incidence of psychiatric and sleep abnormalities in SCM. The most common psychiatric disorders were anxious depressed symptoms, withdrawal depressed symptoms, social problem, somatic complaints, and attention problems. At the same time, SCM experienced decreased sleep quality, excessive daytime sleepiness (EDS), and PSG abnormalities in the form of decreased total sleep time (TST) and sleep efficiency (SE) in addition to increased sleep latency, wake after sleep onset (WASO), arousal index (AI), and REM sleep without atonia index. Conclusion(s): Sleep and psychiatric abnormalities are common underdiagnosed pediatric migraine comorbidities greatly reducing headache control and school performance in this very important period of psychosocial development.Copyright © The Author(s). 2019.",Article,2019,"Egyptian Journal of Neurology, Psychiatry and Neurosurgery",20,40.05,2.86,40,40.45,2.65,child,yes,no,yes,no,yes
Embase,Nrem sleep instability in pediatric migraine without aura.,Roccella et al. (2019),Switzerland,"Children with migraine headaches appear to have a range of sleep disturbances. The aim of the present study was to assess the NREM sleep instability in a population of school-aged individuals affected by migraine without aura (MoA). Thirty-three children with MoA (20 males, 13 females, mean age 10.45 +/- 2.06 years) underwent to overnight Polysomnographic (PSG) recordings and Cyclic Alternating Pattern (CAP) analyses accordingly with international criteria. MoA group showed a reduction in sleep duration parameters (TIB, SPT, TST; p <= 0.001 for all) and in arousal index during REM sleep and an increase in awakenings per hour (AWK/h) vs. Controls (C) (p = 0.008). In particular, MoA children showed a reduced CAP rate% (p <= 0.001), CAP rate% in S1 (p <= 0.001) and CAP rate% in SWS (p = 0.004) vs. C. Moreover, A phases distribution were characterized by a reduction in slow wave components (total number CAP A1%, CAP A1 index) (p <= 0.001) and an increase of fast components representation (total number of CAP A2% and CAP A3%) (p < 0.001) in MoA vs. C. Moreover, MoA children showed an increased A1 and A2 mean duration (p <= 0.001). Our findings show a reduction of arousability in MoA group and lower NREM lower sleep instability associated with MoA in children.Copyright © 2019 Roccella, Marotta, Operto, Smirni, Precenzano, Bitetti, Messina, Sessa, Di Mizio, Loreto, Salerno, Russo, Murabito, Gallai, Esposito, Iacono and Carotenuto.",Article,2019,Frontiers in Neurology,52,43.27,24.56,33,36.2,9.29,child,yes,yes,yes,no,yes
Embase,Prevalence of bruxism in children with episodic migraine--a case-control study with polysomnography.,Masuko et al. (2014),United Kingdom,"BACKGROUND: Parents of children with migraine have described a higher prevalence of sleep bruxism and other sleep disturbances in their children. The objective of this study was to use polysomnography to investigate the prevalence of bruxism during sleep in children with episodic migraine relative to controls.
FINDINGS: Controls and patients were matched by sex, age, years of formal education, presence of snoring, arousals per hour, and respiratory events per hour.A total of 20 controls, between 6 and 12 years old, with no history of headache, recruited from public schools in Sao Paulo between 2009 and 2012, and 20 patients with episodic migraine recruited from the Headache Clinic at the Federal University of Sao Paulo between 2009 and 2012 underwent polysomnography.No intervention was performed before sleep studies.Among migraine patients, 27.5% experienced aura prior to migraine onset. The sleep efficiency, sleep latency, REM sleep latency, arousals per hour, percentage of sleep stages, and breathing events per hour were similar between groups. Five children (25%) with episodic migraine exhibited bruxism during the sleep study while this finding was not observed in any control (p=0.045).
CONCLUSIONS: Our data demonstrate that bruxism during sleep is more prevalent in children with episodic migraine. Further prospective studies will help elucidate the underlying shared pathogenesis between bruxism and episodic migraine in children.",Article,2014,BMC research notes,20,44.29,8.59,20,47.42,7.8,child,yes,no,yes,no,yes
